動作名稱,訓練部位,部位消耗體力值,部位得到肌肉量,動作難度
深蹲,腿部,75,8,3
臥推,胸部,70,7,3
硬舉,腿部,85,9,4
引體向上,背部,65,7,4
肩上推舉,肩部,60,6,3
二頭彎舉,手臂,45,5,2
三頭伸展,手臂,40,4,2
腿部推舉,腿部,80,8,3
划船,背部,70,7,3
啞鈴飛鳥,胸部,55,5,2
側平舉,肩部,45,4,2
腹肌滾輪,核心,60,6,3
羅馬椅仰臥起坐,核心,55,5,2
俄羅斯轉體,核心,40,4,2
抬腿,腿部,30,3,1
小腿提踵,腿部,25,3,1
六角槓硬舉,腿部,88,9,4
啞鈴臥推,胸部,65,6,3
反向划船,背部,55,5,2
蜘蛛人伏地挺身,胸部,60,6,3
T字俯臥撐,肩部,50,4,2
箱式深蹲,腿部,70,7,3
窄距臥推,胸部,60,6,3
單臂啞鈴划船,背部,50,5,2
臉拉,肩部,40,4,2
鎚式彎舉,手臂,40,4,2
法式推舉,手臂,35,4,2
仰臥抬腿,核心,45,4,2
側弓步,腿部,50,5,2
保加利亞分腿蹲,腿部,65,7,3
繩索下拉,背部,60,6,3
繩索交叉,胸部,50,5,2
槓鈴肩推,肩部,65,7,3
集中彎舉,手臂,40,5,2
鋼索三頭肌下壓,手臂,40,4,2
V字起坐,核心,50,5,2
懸掛舉腿,核心,60,6,3
臀橋,腿部,45,4,2
直腿硬舉,腿部,75,8,4
反向弓箭步,腿部,55,5,2
史密斯臥推,胸部,60,6,3
直臂下拉,背部,50,4,2
阿諾推舉,肩部,55,6,3
Zottman彎舉,手臂,35,4,2
骷髏破碎機,手臂,35,3,2
自行車式仰臥起坐,核心,40,4,2
鳥狗式,核心,30,3,1
單腿硬舉,腿部,60,6,3
靠牆深蹲,腿部,45,4,2
蝴蝶機夾胸,胸部,40,4,2
坐姿划船,背部,65,7,3
YTWL肩部訓練,肩部,30,3,1
反向握法彎舉,手臂,35,3,1
過頭啞鈴伸展,手臂,30,3,1
眼鏡蛇式,核心,25,2,1
超人式,核心,30,3,1
踢腿,腿部,20,2,1
驢子踢腿,腿部,35,4,1
跪姿伏地挺身,胸部,35,3,1
滑輪下拉,背部,60,6,3
前平舉,肩部,35,3,1
側臥抬腿,腿部,25,2,1
膝蓋深蹲,腿部,30,3,1
上斜啞鈴臥推,胸部,60,6,3
地雷管划船,背部,70,7,3
啞鈴推舉,肩部,50,5,2
彈力帶二頭肌彎舉,手臂,30,3,1
彈力帶三頭肌伸展,手臂,30,3,1
棒式側邊抬腿,核心,35,3,1
毛巾捲腹,核心,30,3,1
後踢腿,腿部,25,2,1
傑克刀,核心,55,5,3
彈力帶深蹲,腿部,50,5,2
彈力帶胸部推舉,胸部,45,4,2
T槓划船,背部,70,7,3
面朝下肩部伸展,肩部,30,3,1
反向高位下拉,背部,65,6,3
啞鈴過頭伸展,手臂,40,4,2
瑞士球捲腹,核心,45,4,2
俄羅斯深蹲,腿部,55,5,2
蝴蝶機反向飛鳥,肩部,40,4,2
吊環引體向上,背部,70,8,4
吊環飛鳥,胸部,50,5,2
藥球傳遞,核心,40,4,2
槓鈴過頭深蹲,腿部,80,8,5
羅馬尼亞硬舉,腿部,78,8,4
窄距伏地挺身,胸部,55,5,2
寬握引體向上,背部,70,8,4
坐姿啞鈴肩推,肩部,60,6,3
反手彎舉,手臂,40,4,2
體前屈,腿部,50,4,2
髖部推力,腿部,70,7,3
Cable機器划船,背部,65,6,3
Cable機器飛鳥,胸部,50,5,2
俯身側平舉,肩部,40,4,2
龍旗,核心,75,8,5
懸吊式抬腿,核心,65,7,4
提膝仰臥起坐,核心,35,3,1
站姿啞鈴肩推,肩部,65,7,3
上斜槓鈴臥推,胸部,75,8,4
單臂高位下拉,背部,55,5,2
過頭深蹲,腿部,78,8,4
懸垂舉腿,核心,70,7,4
